id,price
1,14788.125
2,5948.75
3,53691.25
4,10473.625
5,4921.625
6,48315.625
7,14176.375
8,44045.75
9,14566.0
10,7629.875
11,59573.0
12,53580.375
13,-2735.625
14,31952.875
15,48244.5
16,2608.875
17,42163.75
18,7732.25
19,14585.625
20,48862.25
21,4328.375
22,46570.5
23,47112.375
24,11970.25
25,12385.625
26,42225.5
27,57080.875
28,6505.625
29,6527.125
30,14762.875
31,13524.625
32,54760.75
33,832.125
34,55813.625
35,14305.875
36,48090.25
37,53435.5
38,3188.0
39,-642.375
40,-7385.875
41,-1046.5
42,7619.625
43,52335.5
44,53617.5
45,51949.125
46,59292.5
47,53562.125
48,3103.875
49,7851.625
50,-67004144289001.625
51,8143.5
52,9858.125
53,8092.625
54,5830.625
55,16132.375
56,12821.0
57,7058.375
58,8602.0
59,-2783.375
60,6396.375
61,10793.5
62,45446.5
63,8610.5
64,1882.0
65,56007.25
66,2147.375
67,6888.125
68,1763.875
69,3964.125
70,702.625
71,35655.0
72,8836.625
73,49831.75
74,53591.5
75,7778.25
76,6037.625
77,10986.375
78,57650.375
79,1418.125
80,48538.25
81,14068.625
82,9092.875
83,51715.25
84,47012.25
85,51966.75
86,4142.875
87,5367.0
88,5464.625
89,16147.5
90,7203.625
91,54903.25
92,54864.25
93,7416.0
94,4340.875
95,5364.875
96,5293.125
97,4036.375
98,11497.875
99,59356.0
100,-1024.875
101,55645.25
102,7401.125
103,99.0
104,1749.875
105,48832.25
106,39734.0
107,10509.875
108,52729.5
109,5874.875
110,4429.125
111,8131.625
112,39609.0
113,8309.5
114,9929.125
115,9488.875
116,51472.25
117,4740.125
118,6457.75
119,12502.125
120,6182.625
121,6207.125
122,6193.125
123,12421.375
124,4568.125
125,54201.5
126,55326.75
127,12143.875
128,7822.25
129,13897.5
130,4287.375
131,4059.0
132,15295.625
133,6424.625
134,53228.25
135,13945.5
136,4381.0
137,56367.5
138,4456.5
139,59682.5
140,57167.5
141,61120.0
142,12850.0
143,48282.75
144,49317.0
145,59282.75
146,57798.0
147,10415.75
148,3727.375
149,52685.5
150,49827.5
151,9318.75
152,8927.375
153,7899.875
154,55495.5
155,15232.625
156,6300.375
157,50433.875
158,3773.625
159,9080.375
160,3132.375
161,53980.0
162,42782.5
163,6881.625
164,54716.125
165,8960.625
166,8444.375
167,57842.375
168,273.625
169,57178.5
170,5536.625
171,56211.75
172,51575.125
173,57203.75
174,8708.375
175,4085.875
176,-1387.25
177,15448.5
178,2661.375
179,49648.25
180,4958.125
181,58214.0
182,15311.125
183,10495.125
184,51622.5
185,5233.625
186,9371.75
187,55820.5
188,57613.875
189,15021.5
190,10937.625
191,2102.5
192,61131.75
193,10348.875
194,56603.25
195,55604.25
196,9223.0
197,10500.125
198,4387.875
199,9541.375
200,49045.25
201,5455.625
202,8822.875
203,49317.375
204,4170.125
205,11405.125
206,4564.125
207,3172.625
208,7400.625
209,8313.625
210,56078.25
211,47893.5
212,5908.5
213,4217.875
214,-3006.25
215,9322.875
216,10625.25
217,7553.375
218,9803.0
219,52758.875
220,12821.75
221,9503.25
222,5594.875
223,4818.125
224,57027.0
225,8366.0
226,1383.875
227,5514.875
228,8779.875
229,41904.25
230,6731.75
231,4260.625
232,5378.875
233,52565.75
234,-5201.5
235,5413.375
236,53065.25
237,59642.375
238,4645.125
239,58160.75
240,7132.375
241,1707.625
242,3079.375
243,4894.875
244,6840.625
245,1122.875
246,61788.125
247,9288.625
248,9845.875
249,48852.0
250,55598.75
251,47279.0
252,10998.5
253,3295.125
254,52062.125
255,-1394.375
256,5112.375
257,50474.25
258,8585.25
259,10819.0
260,15136.625
261,45712.875
262,48215.25
263,44023.5
264,53249.0
265,57845.5
266,9556.375
267,47425.75
268,5168.625
269,2476.125
270,1125.375
271,165.625
272,11582.875
273,4439.0
274,53276.75
275,11757.75
276,13010.5
277,3994.5
278,49034.5
279,6039.375
280,12680.625
281,-11695.125
282,5628.5
283,46599.125
284,47747.0
285,3425.25
286,541.875
287,12147.625
288,4612.125
289,14616.125
290,8791.875
291,-4619.125
292,39285.25
293,3981.875
294,51090.25
295,5168.125
296,64078.625
297,3280.25
298,8634.875
299,4428.5
300,57078.875
301,-4385.875
302,59251.0
303,56150.625
304,51754.75
305,59472.75
306,6334.875
307,59651.25
308,54003.625
309,52188.0
310,3848.375
311,-404.125
312,52122.75
313,9962.875
314,3736.125
315,963.125
316,52354.25
317,62404.375
318,923.125
319,11163.875
320,53261.75
321,15455.5
322,44219.5
